TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_REL,CONTROLLER_1_EULER_REL,CONTROLLER_2_POS_REL,CONTROLLER_2_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB,NARRATIVE_EVENTS,SELECTABLE_ITEMS_SELECTED,NIGEL_LOOK_AT,NIGEL_LOOK_AWAY,BACKPACK_LOOK_AT,BACKPACK_LOOK_AWAY
2017-04-21-12-08-54-275000,"[-0.08903384208679199, 1.143735647201538, -0.14577311277389526]","[83.23572540283203, -22.400693893432617, 4.390777111053467]","[0.2768678665161133, 0.6325888633728027, 0.17110347747802734]","[71.50840759277344, -35.34961700439453, -8.289650917053223]","[0.29666125774383545, 0.6343374252319336, -0.5388894081115723]","[104.93466186523438, -26.764080047607422, 4.185756206512451]","[-0.17110347747802734, 0.6325888633728027, 0.2768678665161133]","[-18.491588592529297, -35.34961700439453, -8.289650917053223]","[0.5388894081115723, 0.6343374252319336, 0.29666125774383545]","[14.93466567993164, -26.764080047607422, 4.185756206512451]",,,,,,
2017-04-21-12-08-54-520000,"[-0.08777236938476562, 1.1431182622909546, -0.14541393518447876]","[83.36467742919922, -21.89986228942871, 4.371462821960449]","[0.27707040309906006, 0.632899284362793, 0.17105937004089355]","[71.462158203125, -35.34623336791992, -8.219664573669434]","[0.2972450256347656, 0.6343315839767456, -0.53830486536026]","[104.6498794555664, -26.670223236083984, 4.3914384841918945]","[-0.17105937004089355, 0.632899284362793, 0.27707040309906006]","[-18.537841796875, -35.34623336791992, -8.219664573669434]","[0.53830486536026, 0.6343315839767456, 0.2972450256347656]","[14.649883270263672, -26.670223236083984, 4.3914384841918945]",,,,,,
2017-04-21-12-08-54-766000,"[-0.08680903911590576, 1.1423206329345703, -0.14541280269622803]","[83.46043395996094, -21.345821380615234, 4.313644886016846]","[0.27684271335601807, 0.6326287984848022, 0.17130863666534424]","[71.42423248291016, -35.34318923950195, -8.190214157104492]","[0.2969399690628052, 0.6341350078582764, -0.5378317832946777]","[104.50837707519531, -26.597496032714844, 4.439684867858887]","[-0.17130863666534424, 0.6326287984848022, 0.27684271335601807]","[-18.57577133178711, -35.34318923950195, -8.190214157104492]","[0.5378317832946777, 0.6341350078582764, 0.2969399690628052]","[14.508376121520996, -26.597496032714844, 4.439684867858887]",,,,,,
2017-04-21-12-08-55-012000,"[-0.08490490913391113, 1.1414685249328613, -0.14682328701019287]","[84.06310272216797, -20.73468780517578, 3.98232102394104]","[0.2767479419708252, 0.6324528455734253, 0.17144227027893066]","[71.39598083496094, -35.33311462402344, -8.180299758911133]","[0.29663825035095215, 0.6345309019088745, -0.5365643501281738]","[103.99657440185547, -26.886072158813477, 4.633424758911133]","[-0.17144227027893066, 0.6324528455734253, 0.2767479419708252]","[-18.604019165039062, -35.33311462402344, -8.180299758911133]","[0.5365643501281738, 0.6345309019088745, 0.29663825035095215]","[13.996570587158203, -26.886072158813477, 4.633424758911133]",,,,,,
2017-04-21-12-08-55-258000,"[-0.08294618129730225, 1.1403911113739014, -0.1485053300857544]","[84.43273162841797, -19.8863582611084, 3.7205920219421387]","[0.276530385017395, 0.6324902772903442, 0.17105400562286377]","[71.47742462158203, -35.35860824584961, -8.33302116394043]","[0.2943929433822632, 0.6250870227813721, -0.48305845260620117]","[81.61402893066406, -23.844127655029297, 14.351703643798828]","[-0.17105400562286377, 0.6324902772903442, 0.276530385017395]","[-18.522573471069336, -35.35860824584961, -8.33302116394043]","[0.48305845260620117, 0.6250870227813721, 0.2943929433822632]","[-8.385973930358887, -23.844127655029297, 14.351703643798828]",,,,,,
2017-04-21-12-08-55-509000,"[-0.07681584358215332, 1.136988878250122, -0.15222370624542236]","[86.22296905517578, -17.407325744628906, 2.922773838043213]","[0.2771487236022949, 0.6325492858886719, 0.17110061645507812]","[71.51388549804688, -35.316986083984375, -8.410123825073242]","[0.2957257032394409, 0.6282958984375, -0.49391746520996094]","[84.82881164550781, -23.796232223510742, 9.009652137756348]","[-0.17110061645507812, 0.6325492858886719, 0.2771487236022949]","[-18.48611831665039, -35.316986083984375, -8.410123825073242]","[0.49391746520996094, 0.6282958984375, 0.2957257032394409]","[-5.1711859703063965, -23.796232223510742, 9.009652137756348]",,,,,,
2017-04-21-12-08-55-756000,"[-0.07403266429901123, 1.1349974870681763, -0.1550004482269287]","[87.77885437011719, -15.929649353027344, 2.3314881324768066]","[0.2771267890930176, 0.6324524879455566, 0.17083442211151123]","[71.53418731689453, -35.310359954833984, -8.422173500061035]","[0.2952876091003418, 0.6290407180786133, -0.49417662620544434]","[85.1291275024414, -24.270267486572266, 8.960095405578613]","[-0.17083442211151123, 0.6324524879455566, 0.2771267890930176]","[-18.465808868408203, -35.310359954833984, -8.422173500061035]","[0.49417662620544434, 0.6290407180786133, 0.2952876091003418]","[-4.870872497558594, -24.270267486572266, 8.960095405578613]",,,,,,
2017-04-21-12-08-56-006000,"[-0.07455384731292725, 1.134779930114746, -0.1556989550590515]","[87.96538543701172, -15.8173246383667, 2.1702473163604736]","[0.27698493003845215, 0.632203221321106, 0.17069804668426514]","[71.53610229492188, -35.34071731567383, -8.445756912231445]","[0.29498207569122314, 0.6296906471252441, -0.49408459663391113]","[85.22744750976562, -25.167455673217773, 9.65180778503418]","[-0.17069804668426514, 0.632203221321106, 0.27698493003845215]","[-18.46389389038086, -35.34071731567383, -8.445756912231445]","[0.49408459663391113, 0.6296906471252441, 0.29498207569122314]","[-4.772554397583008, -25.167455673217773, 9.65180778503418]",,,,,,
2017-04-21-12-08-56-123000,"[-0.0753171443939209, 1.1351085901260376, -0.15543192625045776]","[87.84564208984375, -16.043508529663086, 2.1842753887176514]","[0.27710890769958496, 0.632164478302002, 0.17076075077056885]","[71.52482604980469, -35.29913330078125, -8.421649932861328]","[0.29451680183410645, 0.6299206018447876, -0.4937629699707031]","[85.23841857910156, -25.366064071655273, 9.686076164245605]","[-0.17076075077056885, 0.632164478302002, 0.27710890769958496]","[-18.475175857543945, -35.29913330078125, -8.421649932861328]","[0.4937629699707031, 0.6299206018447876, 0.29451680183410645]","[-4.7615838050842285, -25.366064071655273, 9.686076164245605]",,right_hand,,,,
2017-04-21-12-08-56-224000,"[-0.0752418041229248, 1.1348297595977783, -0.15545135736465454]","[87.76773834228516, -15.884737014770508, 2.205284595489502]","[0.2769273519515991, 0.6322822570800781, 0.17058837413787842]","[71.57988739013672, -35.33887481689453, -8.495038032531738]","[0.2950453758239746, 0.628423810005188, -0.49431920051574707]","[85.35112762451172, -24.84459686279297, 9.920777320861816]","[-0.17058837413787842, 0.6322822570800781, 0.2769273519515991]","[-18.420114517211914, -35.33887481689453, -8.495038032531738]","[0.49431920051574707, 0.628423810005188, 0.2950453758239746]","[-4.648870468139648, -24.84459686279297, 9.920777320861816]",hand_pref_visible_off,,,,,
